iter	Passed	Remaining
415	3030	4253
416	3037	4247
417	3044	4238
418	3052	4232
419	3061	4227
420	3069	4221
421	3076	4213
422	3084	4206
423	3091	4200
424	3099	4193
425	3106	4186
426	3114	4179
427	3122	4172
428	3129	4164
429	3134	4155
430	3141	4147
431	3147	4138
432	3155	4131
433	3162	4124
434	3170	4117
435	3177	4110
436	3186	4105
437	3193	4097
438	3200	4090
439	3208	4083
440	3217	4078
441	3226	4073
442	3234	4066
443	3240	4057
444	3247	4049
445	3253	4040
446	3260	4033
447	3267	4025
448	3273	4017
449	3280	4009
450	3287	4002
451	3294	3994
452	3301	3985
453	3306	3976
454	3314	3969
455	3321	3962
456	3327	3954
457	3334	3945
458	3341	3938
459	3347	3929
460	3354	3922
461	3361	3914
462	3369	3908
463	3376	3900
464	3385	3894
465	3392	3887
466	3399	3879
467	3405	3871
468	3412	3863
469	3419	3856
470	3425	3847
471	3434	3841
472	3442	3835
473	3450	3829
474	3459	3823
475	3468	3817
476	3474	3810
477	3481	3802
478	3489	3795
479	3496	3788
480	3502	3779
481	3511	3773
482	3519	3767
483	3526	3759
484	3532	3751
485	3539	3743
486	3545	3735
487	3552	3727
488	3559	3720
489	3566	3712
490	3573	3704
491	3579	3696
492	3587	3689
493	3594	3681
494	3601	3674
495	3608	3666
496	3616	3660
497	3623	3652
498	3631	3645
499	3637	3637
500	3643	3628
501	3648	3619
502	3655	3611
503	3662	3604
504	3669	3596
505	3676	3588
506	3682	3580
507	3688	3572
508	3695	3564
509	3701	3556
510	3710	3550
511	3717	3543
512	3726	3537
513	3735	3531
514	3743	3525
515	3751	3519
516	3759	3511
517	3765	3504
518	3773	3496
519	3781	3490
520	3791	3485
521	3801	3480
522	3825	3489
523	3833	3482
524	3841	3475
525	3848	3468
526	3856	3461
527	3863	3453
528	3870	3446
529	3879	3439
530	3888	3434
531	3895	3426
532	3902	3419
533	3909	3411
534	3918	3405
535	3926	3399
536	3933	3391
537	3940	3383
538	3949	3377
539	3955	3369
540	3962	3362
541	3970	3355
542	3977	3347
543	3985	3341
