iter	RMSE
144	0.349279589
145	0.3483607875
146	0.3478239877
147	0.3473830528
148	0.3468449925
149	0.3465233551
150	0.3455248386
151	0.3449206727
152	0.3443625174
153	0.3433761535
154	0.3427442772
155	0.3420220578
156	0.3414436407
157	0.3410187377
158	0.3403209407
159	0.3393303263
160	0.3389860669
161	0.3380767627
162	0.3377031963
163	0.3371959949
164	0.336524453
165	0.3355641956
166	0.3349390016
167	0.3345523476
168	0.3341297668
169	0.3337026492
170	0.3330505284
171	0.3328439497
172	0.332381836
173	0.3318651087
174	0.3313717146
175	0.3307709644
176	0.3303270768
177	0.3297994782
178	0.3291680171
179	0.328647954
180	0.3283185734
181	0.3277356272
182	0.3273500401
183	0.3268258025
184	0.3262941404
185	0.3259236958
186	0.3254315098
187	0.3252298696
188	0.3248497811
189	0.3242597031
190	0.3238408545
191	0.3234376729
192	0.3229647986
193	0.3225169158
194	0.3220790554
195	0.3218343398
196	0.321425193
197	0.3212439622
198	0.3208409961
199	0.3202534558
200	0.3195765445
201	0.3190696567
202	0.3185660789
203	0.3181531228
204	0.3178149439
205	0.3172114588
206	0.316764926
207	0.3163636246
208	0.3160545222
209	0.3158299343
210	0.3152207017
211	0.3148462835
212	0.3143391058
213	0.3140274491
214	0.3138223178
215	0.3133610279
216	0.3130410101
217	0.3128422861
218	0.312580919
219	0.3121409193
220	0.311706012
221	0.3113339898
222	0.3110222788
223	0.310706971
224	0.3102165546
225	0.3099323508
226	0.3095766401
227	0.3091303478
228	0.3081857095
229	0.307655173
230	0.306974131
231	0.3064961031
232	0.3061335874
233	0.3057219767
234	0.3053788358
235	0.3049146937
236	0.3044408789
237	0.3042025275
238	0.3038710632
239	0.3036279357
240	0.3034255558
241	0.3032254719
242	0.3027023022
243	0.3023145569
244	0.3019719338
245	0.3015424384
246	0.3011522204
247	0.3009050153
248	0.300512004
249	0.3002252043
250	0.2999020022
251	0.2996520196
252	0.299457004
253	0.2991283352
254	0.2987611149
255	0.2983603927
256	0.2980587969
257	0.2979143715
258	0.297650964
259	0.2971226514
260	0.2967113252
261	0.2962805283
262	0.2959810443
263	0.2958274198
264	0.2951159771
265	0.2945041474
266	0.2942226474
267	0.2939074427
268	0.2935888551
269	0.2933573184
270	0.2931449927
271	0.2928486546
272	0.2924329641
273	0.2920556078
274	0.2916753844
275	0.291206704
276	0.2908123658
277	0.2904646713
278	0.290252942
279	0.2898470056
280	0.2895186068
281	0.2891989693
282	0.2888648583
283	0.2883541543
284	0.2881613215
285	0.287917449
286	0.2875454505
287	0.287075736
288	0.2868580205
289	0.2863426379
290	0.2859399688
291	0.285775636
292	0.2854084395
293	0.2849646092
294	0.2843970187
295	0.2841215706
296	0.2839288609
297	0.2837110424
298	0.2835492121
299	0.2832571461
300	0.2828800165
301	0.2824064387
302	0.2819082464
303	0.2816600856
304	0.2815168571
305	0.281278587
306	0.2809632478
307	0.2806265959
308	0.2800634778
309	0.2798481409
310	0.2796503619
311	0.2793416999
312	0.2789719934
313	0.2787301546
314	0.278349328
315	0.277946651
316	0.2775409976
317	0.277244538
318	0.2768822948
319	0.2765198264
320	0.2763052614
321	0.2759246096
322	0.2756701139
323	0.2755386947
324	0.2753581054
325	0.27502299
326	0.2746249397
327	0.2744107791
328	0.2741776476
329	0.2738977437
330	0.2735419527
331	0.2732108073
332	0.2727469167
333	0.2724266392
334	0.2723374573
335	0.2720963613
336	0.2718368734
337	0.271638135
338	0.2714794855
339	0.2713322109
340	0.2710622344
341	0.2708703471
342	0.2706273306
343	0.2703688544
344	0.2700320313
345	0.269675964
346	0.2694391065
347	0.2691324385
348	0.268980078
349	0.2687680642
350	0.2684583971
351	0.2680715674
352	0.2678803753
353	0.2676698523
354	0.2674569163
355	0.2673171424
356	0.2671348255
357	0.2669469388
358	0.2668139675
359	0.2664892854
360	0.2660813516
361	0.2659220045
362	0.2656546521
363	0.2655236404
364	0.2653303797
365	0.2651066613
366	0.2649029214
367	0.2647792575
368	0.2643465815
369	0.2640299443
370	0.2638675161
371	0.2637972379
372	0.2634573911
373	0.2632349381
374	0.2631253788
375	0.2629791429
376	0.2625760218
377	0.2621846411
378	0.2619572868
379	0.2616224624
380	0.2613291555
381	0.2611181395
382	0.2609106393
383	0.2606665453
384	0.2605080386
385	0.2600732323
386	0.2598937411
387	0.2596520946
388	0.2594874281
389	0.2592808214
390	0.259122604
391	0.2589308245
392	0.258710412
393	0.2584755386
394	0.2583046108
395	0.2580761317
396	0.2579522795
397	0.257782361
398	0.257549061
399	0.2573904237
400	0.2570887695
401	0.2570060489
402	0.2567873383
403	0.2565119698
404	0.2563109637
405	0.2560542434
406	0.2558631636
407	0.2556204846
408	0.2554922193
409	0.2552633184
410	0.2550813531
411	0.2549274879
412	0.2548248943
413	0.2546396445
414	0.2543903985
415	0.2540686747
416	0.2538334488
417	0.2536383328
418	0.2533866903
419	0.253092851
420	0.2528348722
421	0.2526559855
422	0.2525371878
423	0.2521535511
424	0.2519255085
425	0.2518349725
426	0.251600104
427	0.2514536016
428	0.2512328521
429	0.2510017375
430	0.2507448196
431	0.2506055092
432	0.2503610596
433	0.2500399163
434	0.2498992011
435	0.2497553055
436	0.2496406446
437	0.2494399613
438	0.2492447457
439	0.2491408103
440	0.2488790413
441	0.2484503176
442	0.2483980912
443	0.2482697452
444	0.2480734358
445	0.2479758545
446	0.2478687531
447	0.247600717
448	0.2474339042
449	0.2473274091
450	0.2472042284
451	0.2469931223
452	0.246935131
453	0.246865171
454	0.2466255742
455	0.2464906053
456	0.2463814499
457	0.2459944595
458	0.2458838861
459	0.2456934519
460	0.245592304
461	0.2452062269
462	0.2449485863
463	0.2448451045
464	0.2447312262
465	0.2445164764
466	0.2443958042
467	0.2441455933
468	0.2439388525
469	0.2438014161
470	0.2437367118
471	0.2435853215
472	0.2434762708
473	0.243191651
474	0.242974999
475	0.2427856306
476	0.2426449497
477	0.242365938
478	0.2421227238
479	0.2419785638
480	0.2417690451
481	0.2416285339
482	0.2415572886
483	0.2412316283
484	0.2410469987
485	0.2408872911
486	0.2408303078
487	0.2406696801
488	0.2404172608
489	0.2402830339
490	0.2400796792
491	0.2399295076
492	0.2397347781
493	0.2396733102
494	0.2395653031
495	0.2394067737
496	0.2391175447
497	0.2390044236
498	0.2387683234
499	0.2385325163
500	0.2384476972
501	0.2383713066
502	0.2381958008
503	0.2380029755
504	0.2379380226
505	0.2377769134
506	0.2375692754
507	0.2374936641
508	0.2372550721
509	0.2371924564
510	0.2370613738
511	0.2369301099
512	0.2367570423
513	0.2365233143
514	0.2364112178
515	0.2361785142
516	0.2360899666
517	0.2360368486
518	0.2357355924
519	0.2355452564
520	0.2354864257
521	0.235350959
522	0.2351843137
523	0.2350019452
524	0.2348857176
525	0.2346773798
526	0.2345212698
527	0.2343808462
528	0.2343336232
529	0.2342004133
530	0.2339094949
531	0.2336968198
532	0.233533145
533	0.2332486206
534	0.2331434527
535	0.2328972247
536	0.2327211564
537	0.2325451246
538	0.2323852769
539	0.2322111499
540	0.232039002
541	0.2319298535
542	0.2317675667
543	0.2316101646
544	0.2314614338
545	0.2312043426
546	0.2310211817
547	0.2308194279
548	0.2307076919
549	0.2305307441
550	0.2303694408
551	0.2301658834
552	0.2299707114
553	0.2298660165
554	0.2297279348
555	0.2296595016
556	0.2294044115
557	0.2292451016
558	0.2290362148
559	0.2289367119
560	0.2288585718
561	0.2286423488
562	0.2285713245
563	0.2283616353
564	0.2281439831
565	0.2278262495
566	0.2276480618
567	0.2275158485
568	0.227360685
569	0.2272514906
570	0.2270532474
571	0.2269141359
572	0.2267956909
573	0.2266779941
574	0.2264324749
575	0.2262558267
576	0.2261046607
577	0.2258815913
578	0.2257521003
579	0.2256319539
580	0.2253893376
581	0.2250444045
582	0.2249034134
583	0.2247488672
584	0.2246271102
585	0.2242714769
586	0.2240941136
587	0.2240106476
588	0.223665573
589	0.2234026145
590	0.2231398988
591	0.2229680403
592	0.2228330981
593	0.2227303552
594	0.2226266913
595	0.2224742102
596	0.2222963961
597	0.2220867284
598	0.2219187664
599	0.2218221787
600	0.2216860674
601	0.221515981
602	0.2213296683
603	0.2212113076
604	0.2210626724
605	0.2209716462
606	0.220817634
607	0.2205900596
608	0.220512807
609	0.2203662997
610	0.220168103
611	0.2200984501
612	0.2200283735
613	0.2199033318
614	0.2197035823
615	0.2196458219
616	0.2194564276
617	0.2193395326
618	0.2192100947
619	0.2190353102
620	0.2188580457
621	0.2188222905
622	0.2187356157
623	0.2185462414
624	0.2183671734
625	0.2181779081
626	0.2180013888
627	0.2178832497
628	0.2176503637
629	0.2174554966
630	0.21736063
631	0.2172545492
632	0.217109958
633	0.2169923184
634	0.2168687458
635	0.2166959996
636	0.2164543619
637	0.2162259179
638	0.2160470943
639	0.2158551652
640	0.2156805926
641	0.21551031
642	0.2154231863
643	0.2153665562
644	0.2153098958
645	0.2151901359
646	0.2151054286
647	0.21490006
648	0.214861873
649	0.21477439
650	0.2147316413
651	0.2146592293
652	0.2145134259
653	0.2143458395
654	0.21416753
655	0.2140514231
656	0.2139895297
657	0.2138750011
658	0.2137605787
659	0.213638764
660	0.2135023463
661	0.2133523145
662	0.2133130201
663	0.2132137901
664	0.2131337278
665	0.2129469705
666	0.2128445167
667	0.2126977973
668	0.2125417384
669	0.2124109024
670	0.2122803329
671	0.2122308518
672	0.2120787446
673	0.2120059976
674	0.2118643068
675	0.2117171717
676	0.2115937734
677	0.2114680388
678	0.2112899018
679	0.2112092363
680	0.2110566793
681	0.2109307511
682	0.2108741577
683	0.2107791235
684	0.2106221962
685	0.2104707451
686	0.2103384623
687	0.2102535172
688	0.2101903836
689	0.2100333948
690	0.2099356248
691	0.209724069
692	0.209604147
693	0.2094707166
694	0.209359632
695	0.2091383347
696	0.208950523
697	0.2087751927
698	0.2086635285
699	0.2085140079
700	0.2083532403
701	0.2081537775
702	0.2080661827
703	0.2077719447
704	0.2076144633
705	0.2075506918
706	0.2074215737
707	0.2072955427
708	0.2072257452
709	0.2071442443
710	0.2070221719
711	0.2069425885
712	0.2068943186
713	0.206781899
714	0.2066506345
715	0.2065940568
716	0.2064374512
717	0.2062421144
718	0.2062144139
719	0.2060866447
720	0.2059257952
721	0.205825402
722	0.2057003027
723	0.2055529679
724	0.2054570156
725	0.2053376039
726	0.2052333671
727	0.2050477416
728	0.2049164005
729	0.2048551552
730	0.2047195848
731	0.2046000247
732	0.2045253867
733	0.2043917975
734	0.2042204675
735	0.204120942
736	0.2039738644
737	0.2039132562
738	0.2038501295
739	0.2037482742
740	0.2036704463
741	0.2035762186
742	0.2035238243
743	0.2034723141
744	0.2033813522
745	0.2032392209
746	0.2031006625
747	0.2030094685
748	0.2028855574
749	0.2027981401
750	0.2026911164
751	0.2025789129
752	0.2024947043
753	0.2023214533
754	0.2021710606
755	0.2019989047
756	0.2019766068
757	0.201891813
758	0.2018531775
759	0.2016914707
760	0.2015749507
761	0.2014678077
762	0.2013609811
763	0.2012400609
764	0.2011501817
765	0.2010701219
766	0.2010308566
767	0.2008605928
768	0.2007533893
769	0.2005370938
770	0.200408624
771	0.2003018576
772	0.2002341655
773	0.2001066017
774	0.1999247998
775	0.1998406077
776	0.1997174691
777	0.1996109385
778	0.199493307
779	0.1994355395
780	0.199312679
781	0.1992609408
782	0.1991035618
783	0.1990150442
784	0.1989227876
785	0.1987766049
786	0.1987221711
787	0.1985931139
788	0.1985036793
789	0.1983643055
790	0.1982514696
791	0.1981175723
792	0.1980424689
793	0.1979419564
794	0.1979117692
795	0.1977456117
796	0.1976684846
797	0.197584845
798	0.1975494708
799	0.1974381446
800	0.197337954
801	0.1972668299
802	0.1971700526
803	0.1971033299
804	0.1970397528
805	0.1969418951
806	0.1968726858
807	0.1967485548
808	0.1967206943
809	0.1966722391
810	0.1966036415
811	0.1965099311
812	0.1963965672
813	0.1962890466
814	0.1961901415
815	0.1961179646
816	0.1960356522
817	0.195892779
818	0.1957622677
819	0.1956353746
820	0.1955338228
821	0.1953967586
822	0.195314571
823	0.1952227032
824	0.1951346657
825	0.1950621167
826	0.1949905782
827	0.1948954331
828	0.1948393737
829	0.1947241539
830	0.1946184339
831	0.1945495598
832	0.1944641043
833	0.1943425564
834	0.1942911268
835	0.194158289
836	0.1940930627
837	0.1939358686
838	0.1938370197
839	0.1938061415
840	0.1936687729
841	0.193535828
842	0.1934819484
843	0.1933875631
844	0.1932743645
845	0.1931678744
846	0.1930847721
847	0.193014004
848	0.1929653418
849	0.1928548353
850	0.1927643374
851	0.1926408469
852	0.192536138
853	0.1924035008
854	0.1922536987
855	0.1921485186
856	0.1921114386
857	0.1919406615
858	0.1918357594
859	0.1917586474
860	0.1916960503
861	0.1916249242
862	0.1915276084
863	0.1914747625
864	0.1913693751
865	0.1912670401
866	0.191173402
867	0.1911344388
868	0.1910869115
869	0.1909891295
870	0.1909069762
871	0.1907793737
872	0.1907006357
873	0.190537335
874	0.1904299168
875	0.1903323775
876	0.1902405229
877	0.1901260931
878	0.1899973274
879	0.189860676
880	0.1897361322
881	0.1896066954
882	0.1895209325
883	0.1893938147
884	0.1893029705
885	0.1892014846
886	0.1890937776
887	0.1890084
888	0.1889060719
889	0.1888750174
890	0.1887773229
891	0.1886301934
892	0.1885601999
893	0.1884957458
894	0.1883698765
895	0.1882496649
896	0.1881394198
897	0.1880228496
898	0.1879507828
899	0.1879203041
900	0.1878727137
901	0.1878375641
902	0.1877299679
903	0.1876352934
904	0.1875377072
905	0.1874684179
906	0.1873904382
907	0.1873197364
908	0.1872770149
909	0.1872215749
910	0.1871529037
911	0.187009486
912	0.186933737
913	0.1868441884
914	0.1867952561
915	0.1866960954
916	0.1866598193
917	0.1865825087
918	0.1864388899
919	0.1863498572
920	0.1862615415
921	0.1861749971
922	0.186093941
923	0.1859807078
924	0.1858370498
925	0.1857843758
926	0.1856833704
927	0.185604753
928	0.1855019097
929	0.1854521877
930	0.1853774982
931	0.1852800154
932	0.1852243343
933	0.1851559447
934	0.1850687079
935	0.1850182387
936	0.1849711679
937	0.1848583427
938	0.1847789006
939	0.1846610899
940	0.1845622533
941	0.1845463543
942	0.184456151
943	0.1844164214
944	0.1843449713
945	0.1842588833
946	0.1841388064
947	0.1840292426
948	0.1839222126
949	0.1838212011
950	0.1837297468
951	0.1836835494
952	0.1835685323
953	0.1834829908
954	0.1834597767
955	0.1833970346
956	0.1833161854
957	0.183239395
958	0.1831653772
959	0.1831057129
960	0.1830038037
961	0.1829464664
962	0.1828598417
963	0.182750585
964	0.1826937007
965	0.1826023169
966	0.1825368978
967	0.1824798995
968	0.1824291697
969	0.1823382248
970	0.1822995115
971	0.1822744385
972	0.1821724932
973	0.1821267775
974	0.1820841686
975	0.1819885764
976	0.1819365978
977	0.1818573498
978	0.1818130878
979	0.18175771
980	0.1816523163
981	0.1815809415
982	0.1815205621
983	0.1814652474
984	0.1813449748
985	0.1812910018
986	0.1811822059
987	0.1811036157
988	0.1810503813
989	0.1810080013
990	0.1809112945
991	0.1808027626
992	0.1807773581
993	0.1807103707
994	0.1806744446
995	0.1805556371
996	0.1804315907
997	0.1803822626
998	0.1802574386
999	0.1801573903
